year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2003;September 26th;Duplex;418651,00;9652000,00;10070651,00
2003;September 24th;Yossi & Jagger;3581,00;266651,00;270232,00
2000;December 31st;Chiedimi se Sono Felice;;n/a;
2000;December 29th;Raju Chacha;;194698,00;
2000;December 29th;Shadow of the Vampire;;8279017,00;
2000;December 29th;Khiladi 420;;26731,00;
2000;December 29th;The Claim;753612,00;622023,00;1375635,00
2000;December 27th;Traffic;84192524,00;124107476,00;208300000,00
2000;December 29th;Chunhyang;;798220,00;
2000;December 22nd;Vatel;;49464,00;
2000;December 22nd;Thirteen Days;31987801,00;34566746,00;66554547,00
2003;September 26th;Kart Racer;;56146,00;
2008;April;One Fast Move or IÃ¢â‚¬â„¢m Gone: KerouacÃ¢â‚¬â„¢s Big Sur;;n/a;
2008;April 30th;Urmel voll in Fahrt;;n/a;
2008;April 25th;Without the King;;8663,00;
2008;April 25th;Up the Yangtze;;783969,00;
2008;May 2nd;Fugitive Pieces;;634379,00;
2008;April 25th;Then She Found Me;3427203,00;3735717,00;7162920,00
2008;April 25th;Tashan;7055067,00;457380,00;7512447,00
2008;April 25th;Standard Operating Procedure;103290,00;228830,00;332120,00
2000;December 22nd;State and Main;2261808,00;6920692,00;9182500,00
2008;April 25th;A Plumm Summer;;60668,00;
2008;April 25th;Roman de Gare;2941851,00;1852764,00;4794615,00
2008;April 25th;Harold & Kumar Escape from Guantanamo Bay;5244389,00;38108728,00;43353117,00
2008;April 25th;Rogue;4662925,00;10452,00;4673377,00
2008;April 25th;Deception;8251527,00;4598506,00;12850033,00
2008;April 25th;The Cry;;21427,00;
2008;April 25th;Dare Not Walk Alone;;52166,00;
2008;April 23rd;Marfa si banii;;n/a;
2008;April 25th;Baby Mama;3676235,00;60494212,00;64170447,00
2008;April 19th;Madama Butterfly;;n/a;
2008;April 25th;Deal;;61626,00;
2008;April 18th;Where in the World is Osama Bin Laden?;;384955,00;
2008;April 18th;Zombie Strippers;8259,00;n/a;8259,00
2008;April 19th;Meitantei Conan: Senritsu no furu sukoa;21997163,00;n/a;21997163,00
2008;April 18th;Kiss the Bride;;32033,00;
2008;April 18th;Life Before Her Eyes;6900000,00;303439,00;7203439,00
2008;April 18th;Pathology;3161929,00;109045,00;3270974,00
2009;June 5th;Seraphine;73326,00;884613,00;957939,00
2009;June 5th;Tennessee;;16100,00;
2009;June 5th;My Life in Ruins;11800000,00;8677425,00;20477425,00
2009;June 11th;Blast;;n/a;
2009;June 5th;Pig Hunt;;n/a;
2009;June 5th;Land of the Lost;20110271,00;49438370,00;69548641,00
2009;June 5th;Downloading Nancy;;22282,00;
2009;June 5th;Herb & Dorothy;;194721,00;
2009;June 5th;Daytime Drinking;;4970,00;
2009;June 5th;The Art of Being Straight;;10382,00;
2009;June 5th;Away We Go;656070,00;9451946,00;10108016,00
2009;June 5th;The Hangover;188165080,00;277322503,00;465487583,00
2009;May 29th;Pontypool;28051,00;3865,00;31916,00
2009;June 3rd;Unmistaken Child;;306140,00;
2009;May 29th;Offshore;;n/a;
2009;May 29th;Munyurangabo;;7001,00;
2009;May 29th;What Goes Up;;5290,00;
2009;May 29th;Laila's Birthday;;13689,00;
2009;May 29th;MÃƒÂ¤n som hatar kvinnor;96671919,00;12749992,00;109421911,00
2009;June 5th;24 City;11830,00;30799,00;42629,00
2009;May 29th;Up;438459213,00;293004164,00;731463377,00
2009;March 12th;Madeo;17117453,00;551509,00;17668962,00
2009;May 27th;Pressure Cooker;;44802,00;
2009;May 29th;Drag Me To Hell;49287862,00;42100625,00;91388487,00
2011;April 8th;Hanna;25084575,00;40259119,00;65343694,00
2009;May 22nd;O'Horten;1500000,00;302232,00;1802232,00
2011;April 8th;Exodus Fall;;n/a;
2011;April 8th;Ceremony;;22270,00;
2011;April 8th;Arthur;14752546,00;33035397,00;47787943,00
2011;April 8th;American: The Bill Hicks Story;;174796,00;
2011;April 8th;Born to be Wild 3D;10669297,00;25932762,00;36602059,00
2011;April 1st;Wrecked;;8020,00;
2011;April 1st;Wretches & Jabberers;;n/a;
2011;April 1st;Two Gates of Sleep;;n/a;
2011;April 1st;Trust;;120016,00;
2011;April 6th;Blank City;;116037,00;
2011;April 1st;Source Code;85716272,00;54712227,00;140428499,00
2011;April 1st;Rubber;580544,00;100370,00;680914,00
2011;April 1st;Super;266217,00;327716,00;593933,00
2011;April 1st;Insidious;45861736,00;54009150,00;99870886,00
2011;April 1st;The Last Godfather;;164247,00;
2011;April 1st;Game;;132035,00;
2011;April 1st;Haevnen;14859216,00;1008098,00;15867314,00
2011;April 1st;Joueuse;;478710,00;
2011;April 1st;Fat, Sick & Nearly Dead;;n/a;
2011;April 1st;Circo;;77466,00;
2011;April 1st;An Affirmative Act;;n/a;
2011;April 1st;Hop;80408777,00;108085305,00;188494082,00
2010;May 1st;Cornered;;n/a;
2011;March 30th;Le quattro volte;;152530,00;
2010;May 1st;My Girlfriend's Boyfriend;;n/a;
2011;March 25th;White Irish Drinkers;;31056,00;
2011;April 1st;Cat Run;;30100,00;
2010;April 30th;Please Give;533088,00;4033574,00;4566662,00
2010;April 30th;Touching Home;;110594,00;
2010;April;The Wildest Dream;;5100135,00;
2010;April 30th;Mercy;;6780,00;
2010;April 30th;It's a Bash!;;7839,00;
2010;April 30th;Luftslottet som sprÃƒÂ¤ngdes;35751976,00;5427684,00;41179660,00
2010;April 30th;The Human Centipede;170694,00;181467,00;352161,00
2010;April 30th;A Nightmare on Elm Street;54654610,00;63075011,00;117729621,00
2010;April 30th;Housefull;17542642,00;1183658,00;18726300,00
2010;April 30th;Harry Brown;10204925,00;1818681,00;12023606,00
2010;April 30th;Gunless;;458054,00;
2010;April 30th;The Good Heart;728756,00;20930,00;749686,00
2010;April 29th;Rampage;;n/a;
2010;April 30th;Furry Vengeance;21709712,00;17630465,00;39340177,00
2010;April 23rd;Paper Man;;15389,00;
2010;April 23rd;Joheunnom nabbeunnom isanghannom;42098171,00;128486,00;42226657,00
2010;April 23rd;In My Sleep;;31858,00;
2010;April 23rd;The Losers;6272408,00;23591432,00;29863840,00
2010;April 20th;Hey, Hey, It's Esther Blueburger;;15222,00;
2010;April 23rd;Boogie Woogie;;2618,00;
2010;April 23rd;Feed the Fish;;101170,00;
2010;April 23rd;Behind the Burly Q;;23889,00;
2010;April 23rd;The Back-up Plan;37791172,00;37490007,00;75281179,00
2010;April 23rd;Best Worst Movie;;109895,00;
2014;February 28th;Assistance mortelle;;3000,00;
2014;February 28th;Bottled Up;;n/a;
2014;February 28th;The Bag Man;80697,00;56574,00;137271,00
2014;February 27th;Anita Ho;;3050,00;
2014;February 22nd;National Theatre Live: Coriolanus;123669,00;n/a;123669,00
2014;February 21st;Southern Baptist Sissies;;n/a;
2014;February 21st;Holy Ghost People;;n/a;
2014;February 21st;Pompeii;85300000,00;23169033,00;108469033,00
2014;February 21st;Elaine Stritch: Shoot Me;;330083,00;
2014;February 21st;Barefoot;;15071,00;
2014;February 21st;Black Out;;2734,00;
2014;February 21st;In Secret;252048,00;444179,00;696227,00
2014;February 21st;Highway;;529136,00;
2014;February 21st;Angels in Stardust;;n/a;
2014;February 21st;Almost Human;;5710,00;
2014;February 21st;Amori elementari;33333,00;n/a;33333,00
2014;February 25th;Silent But Deadly;;n/a;
2014;February 21st;3 Days to Kill;8261901,00;30697999,00;38959900,00
2014;June 2nd;Uribyeol Ilho-wa Eollukso;;n/a;
2014;March 7th;Mr. Peabody & Sherman;158300000,00;111506430,00;269806430,00
2014;February 21st;Aaha Kalyanam;;n/a;
2014;February 14th;Lucky Bastard;;n/a;
2014;February 14th;Snabba cash II;;n/a;
2014;February 19th;Pozitia copiului;;218224,00;
2014;February 14th;WinterÃ¢â‚¬â„¢s Tale;16974802,00;12600231,00;29575033,00
2013;March 7th;Titans of the Ice Age;221034,00;n/a;221034,00
2013;March 8th;Don't Stop Believin': Everyman's Journey;;61018,00;
2013;March 7th;Along the Roadside;3234,00;n/a;3234,00
2013;March 7th;Girl Rising;;849484,00;
2013;March 15th;Spring Breakers;17024965,00;14124286,00;31149251,00
2013;March 2nd;The Met: Live in HD - Parsifal;;n/a;
2013;March 8th;Dead Man Down;8704679,00;10895295,00;19599974,00
2013;March 1st;Welcome to Pine Hill;;6115,00;
2013;March 6th;Gut Renovation;;n/a;
2013;March 1st;The Playback Singer;;n/a;
2013;March 1st;Les saveurs du Palais;82442,00;510587,00;593029,00
2013;March 8th;The ABCs of Death;13304,00;21832,00;35136,00
2013;March 1st;Molly's Theory of Relativity;;n/a;
2013;March 1st;A Place at the Table;;231378,00;
2013;March 1st;Po Lamaditi L'ehove;;n/a;
2013;March 1st;The Lost Medallion: The Adventures of Billy Stone;;549632,00;
2013;March 1st;Phantom;164921,00;1034589,00;1199510,00
2013;March 1st;Leviathan;;76202,00;
2013;March 1st;Hava Nagila: The Movie;;368724,00;
2013;March 1st;Genius on Hold;;n/a;
2013;March 1st;Future Weather;;n/a;
2013;March 1st;The Frankenstein Theory;;n/a;
2002;December 31st;Confessions of a Dangerous Mind;17006087,00;16007718,00;33013805,00
2013;March 1st;A Fierce Green Fire;;29817,00;
2002;December 27th;Sonny;;17639,00;
2002;December 27th;Nicholas Nickleby;1749124,00;1562800,00;3311924,00
2013;March 1st;The Last Exorcism Part II;10269404,00;15179303,00;25448707,00
2002;December 27th;Max;185478,00;539197,00;724675,00
2002;December 27th;The Hours;55354474,00;41675994,00;97030468,00
2002;December 30th;Love Liza;;213137,00;
2002;December 27th;The Pianist;79334860,00;32519322,00;111854182,00
2002;December 27th;BahÃƒÂ­a mÃƒÂ¡gica;2614,00;n/a;2614,00
2002;December 27th;Chicago;136083027,00;170687518,00;306770545,00
2002;December 25th;Catch Me if You Can;191005491,00;164606800,00;355612291,00
2002;December 20th;Smokers Only;;11752,00;
2002;December 20th;The Wild Thornberrys Movie;20586040,00;40108697,00;60694737,00
2002;December 25th;Pinocchio;28000000,00;3681811,00;31681811,00
2002;December 20th;Two Weeks Notice;105688391,00;93354918,00;199043309,00
2006;September 15th;Zen Noir;;n/a;
2006;September 15th;We Go Way Back;;6529,00;
2006;September 15th;Pyar Ke Side Effects;;30230,00;
2006;September 15th;The U.S. vs John Lennon;278174,00;1109146,00;1387320,00
2006;September 15th;The Last Kiss;;11614790,00;
2006;September 30th;The Queen;72444162,00;56441711,00;128885873,00
2006;September 15th;Jimmy and Judy;;n/a;
2006;September 15th;Jesus Camp;492445,00;902544,00;1394989,00
2006;September 15th;The Ground Truth: After the Killing Ends;;20013,00;
2006;September 15th;Everyone's Hero;2477336,00;14523101,00;17000437,00
2006;September 15th;Keeping Mum;16494571,00;1619466,00;18114037,00
2006;September 15th;Confetti;4506731,00;228498,00;4735229,00
2006;September 15th;Gridiron Gang;3025011,00;38432823,00;41457834,00
2006;September 15th;Artie Lange's Beer League;;475000,00;
2006;September 15th;The Black Dahlia;26565712,00;22672813,00;49238525,00
2006;September 15th;Aurora Borealis;;60729,00;
2006;September 8th;Tom yum goong;31000000,00;12044087,00;43044087,00
2006;September 8th;Sherrybaby;560328,00;199176,00;759504,00
2006;September 8th;Salvadore Allende;;8454,00;
2006;September 8th;Red Doors;;97848,00;
2006;September 8th;Man Push Cart;;36608,00;
2006;September 8th;Iraq for Sale: The War Profiteers;;n/a;
2006;September 8th;Le petit lieutenant;;216724,00;
2006;September 8th;I Trust You To Kill Me;;12854,00;
2006;September 8th;Hollywoodland;2400000,00;14426251,00;16826251,00
2012;March 2nd;Art is...The Permanent Revolution;;4291,00;
2012;March 1st;No Room for Rockstars;;n/a;
2012;February 29th;Jungle Emperor Leo: The Brave Change The Future;181964,00;n/a;181964,00
2012;March 2nd;Dr. SeussÃ¢â‚¬â„¢ The Lorax;136946253,00;214030500,00;350976753,00
2012;February 24th;Tyler Perry's Good Deeds;553386,00;35025791,00;35579177,00
2012;February 24th;Tere Naal Love Ho Gaya;4619876,00;177743,00;4797619,00
2012;February 24th;Wanderlust;6871779,00;17288155,00;24159934,00
2012;February 24th;Stilyagi;;n/a;
2012;February 24th;Tomorrow When the War Began;13400000,00;4936,00;13404936,00
2006;September 13th;Al Franken: God Spoke;;102990,00;
2012;February 24th;Jodi Breakers;;52618,00;
2012;February 24th;Gone;6417984,00;11682205,00;18100189,00
2012;February 24th;La fee;;38399,00;
2012;February 24th;Carne de neon;10483,00;n/a;10483,00
2012;February 24th;Goon;2853692,00;4164911,00;7018603,00
2012;May 4th;The Best Exotic Marigold Hotel;88256141,00;46383639,00;134639780,00
2012;February 24th;Act of Valor;12484188,00;70012847,00;82497035,00
2012;February 17th;Undefeated;24779,00;561054,00;585833,00
2012;February 17th;Rundskop;57540,00;142616,00;200156,00
2012;February 24th;The Forgiveness of Blood;102294,00;122593,00;224887,00
2012;February 17th;Putin's Kiss;;10082,00;
2012;February 17th;Thin Ice;;789752,00;
2012;February 17th;On the Ice;;70526,00;
2015;January 16th;Still Alice;22941966,00;18656400,00;41598366,00
2015;January 16th;Les souvenirs;7777531,00;n/a;7777531,00
2012;February 17th;Ghost Rider: Spirit of Vengeance;97443353,00;51774002,00;149217355,00
2015;January 16th;The Smell of Us;84962,00;n/a;84962,00
2015;January 16th;Siu je yau sam;541078,00;n/a;541078,00
2015;January 16th;Pokemon Za MÃƒÂ»bÃƒÂ® XY: Hakai no Mayu to DianshÃƒÂ®;1689083,00;n/a;1689083,00
2015;January 16th;Spare Parts;82369,00;3618912,00;3701281,00
2015;May 22nd;Omoide no Mani;1202704,00;565042,00;1767746,00
2015;January 16th;The Phoenix Project;;n/a;
2015;January 16th;Oneului yeonae;13576426,00;n/a;13576426,00
2015;January 16th;Ni zhuan sheng;46569,00;n/a;46569,00
2015;April 18th;Loitering with Intent;;n/a;
2015;January 16th;Mazlum Kuzey;378764,00;n/a;378764,00
2012;February 17th;fangxinqufei;580000,00;n/a;580000,00
2015;May 1st;Loin des hommes;1124894,00;5336,00;1130230,00
2015;January 16th;Little Accidents;;8649,00;
2015;January 16th;Lianhua Xingdong;3030000,00;n/a;3030000,00
2015;January 16th;Italo Barocco;637136,00;n/a;637136,00
2015;January 16th;In the Heart;74766,00;n/a;74766,00
2015;February 20th;The Last: Naruto the Movie;1601660,00;483795,00;2085455,00
2015;January 16th;Heosamgwan maehyeolgi;6702181,00;n/a;6702181,00
2015;June 5th;Hungry Hearts;554098,00;6921,00;561019,00
2015;January 16th;Frau MÃƒÂ¼ller muss weg!;9031225,00;n/a;9031225,00
2015;January 16th;Fatih'in Fedaisi Kara Murat;656479,00;n/a;656479,00
2016;January 1st;Tarp Musu Berniuku;1132236,00;n/a;1132236,00
2016;January 1st;Strana chudes;3987780,00;n/a;3987780,00
2016;January 1st;Srochno vyydu zamuzh;1067507,00;n/a;1067507,00
2016;April 15th;Un tango mas;417565,00;100086,00;517651,00
2016;January 1st;Slaba plec?;2644199,00;n/a;2644199,00
2016;January 1st;Sherlock: The Abominable Bride;39111922,00;n/a;39111922,00
2016;January 1st;Sadakat;4425,00;n/a;4425,00
2016;January 1st;Quo Vado?;73811841,00;n/a;73811841,00
2016;January 1st;Pension ComplÃƒÂ¨te;1719064,00;n/a;1719064,00
2016;January 1st;My Bebe Love: #KiligPaMore;28466,00;n/a;28466,00
2016;January 1st;Nowhere Boys: The Book of Shadows;34878,00;n/a;34878,00
2015;January 16th;Sous X;156706,00;n/a;156706,00
2015;January 16th;I;203979,00;n/a;203979,00
2016;January 1st;Monchora;;n/a;
2016;January 1st;Mlechnyy put;824548,00;n/a;824548,00
2016;January 1st;Mafiya: Igra na vyzhivanie;7313343,00;n/a;7313343,00
2016;January 1st;Korak po korak;30620,00;n/a;30620,00
2016;January 1st;Ivan Tsarevich i Seryy Volk 3;9775063,00;n/a;9775063,00
2016;January 1st;Incidencias;393060,00;n/a;393060,00
2016;January 1st;Ho Mann Jahaan;63029,00;208611,00;271640,00
2016;January 1st;Kocan Kadar Konus Dirilis;6174554,00;n/a;6174554,00
2016;January 1st;Je compte sur vous;740894,00;n/a;740894,00
2016;January 1st;El cumple de la abuela;698567,00;n/a;698567,00
2016;January 1st;Bogatyrsha;796406,00;n/a;796406,00
2016;January 1st;The Nutcracker Sweet;172276,00;n/a;172276,00
2016;March 25th;Baskin;318156,00;n/a;318156,00
2007;August 3rd;Care Bears: Oopsy Does It!;;n/a;
2007;August 3rd;Beed-e majnoon;;25525,00;
2007;August 3rd;Bratz;15737014,00;10010209,00;25747223,00
2007;August 1st;Sommer '04;;20475,00;
2007;August 1st;Gidam;3608964,00;n/a;3608964,00
2007;August 3rd;The Bourne Ultimatum;216572326,00;227471070,00;444043396,00
2007;August 3rd;Becoming Jane;20716920,00;18663911,00;39380831,00
2007;July 27th;Who's Your Caddy?;;5694308,00;
2007;July 27th;Transformation: The Life & Legacy of Werner Erhard;;49919,00;
2007;July 27th;No Reservations;48835977,00;43107979,00;91943956,00
2007;August 1st;El Cantante;;7556004,00;
2007;July 27th;Laura Smiles;;2065,00;
2007;July 27th;No End In Sight;;1433319,00;
2007;July 28th;Kappa no ku to natsu yasumi;;n/a;
2007;July 27th;The Camden 28;;6983,00;
2007;July 27th;MoliÃƒÂ¨re;155421,00;635733,00;791154,00
2007;July 27th;I Know Who Killed Me;;7233485,00;
2007;July 25th;This is England;8411657,00;327919,00;8739576,00
2007;July 27th;The Simpsons Movie;343936008,00;183135014,00;527071022,00
2007;July 25th;Hwa-ryeo-han hyuga;49136551,00;n/a;49136551,00
2007;July 25th;El telÃƒÂ³n de azÃƒÂºcar;;929,00;
2007;July 20th;Partner;20853261,00;1062840,00;21916101,00
2007;July 25th;The Devil Came on Horseback;;132782,00;
2007;July 25th;Arctic Tale;194090,00;833532,00;1027622,00
2005;October 7th;In Her Shoes;49322439,00;32880591,00;82203030,00
2007;July 20th;Your Mommy Kills Animals;;n/a;
2005;October 7th;Dubai;;n/a;
2005;October 7th;Before the Fall;;144254,00;
2005;October 7th;Good Night, and Good Luck;25085683,00;31501218,00;56586901,00
2005;October 7th;The Gospel;;15778152,00;
2005;October 7th;CSA: The Confederate States of America;51928,00;672156,00;724084,00
2005;October 7th;The Aggressives;;3769,00;
2005;October 6th;Dungeons & Dragons: Wrath of the Dragon God;909822,00;n/a;909822,00
2005;October 7th;2 For the Money;7500000,00;22991379,00;30491379,00
2005;September 30th;The War Within;;73789,00;
2005;October 5th;Wallace & Gromit: The Curse of the Were-Rabbit;141524605,00;56068547,00;197593152,00
2005;October 5th;The Squid and the Whale;3818689,00;7372734,00;11191423,00
2005;September 30th;SueÃƒÂ±o;;4181,00;
2005;September 30th;Serenity;14804923,00;25514517,00;40319440,00
2005;September 30th;The Prize Winner of Defiance, Ohio;;627844,00;
2005;September 30th;Screen Door Jesus;;43124,00;
2005;September 30th;My Big Fat Independent Movie;;4655,00;
2005;September 30th;MirrorMask;108654,00;864959,00;973613,00
2005;September 30th;Juarez: Stages of Fear;;50707,00;
2005;September 30th;The Last Drop;;n/a;
2005;September 30th;Little Manhattan;83854,00;385373,00;469227,00
2005;September 30th;Three Days of Rain;;2841,00;
2004;October 1st;Tying the Knot;;37464,00;
2004;October 6th;Tarnation;570000,00;592014,00;1162014,00
2004;October 1st;Woman Thou Art Loosed;;6879730,00;
2004;October 1st;Therese;;2627016,00;
2004;October 1st;In the Face of Evil;;110577,00;
2004;October 1st;Celsius 41.11: The Temperature at Which the Brain... Begins to Die;;n/a;
2004;October 1st;Ladder 49;27791141,00;74541707,00;102332848,00
2005;September 30th;Into the Blue;23200000,00;18782227,00;41982227,00
2004;October 1st;Dig;440635,00;127067,00;567702,00
2004;October 1st;Going Upriver: The Long War of John Kerry;900,00;613252,00;614152,00
2004;October 1st;Black Cloud;;n/a;
2004;September 30th;Politiki kouzina;405939,00;n/a;405939,00
2004;October 1st;I Heart Huckabees;7250000,00;12784713,00;20034713,00
2004;September 24th;Shaun of the Dead;16289712,00;13542874,00;29832586,00
2004;September 24th;The Yes Men;75229,00;198975,00;274204,00
2004;September 24th;Rick;;n/a;
2004;September 24th;The Raspberry Reich;;31211,00;
2004;September 24th;Moog;;2227,00;
2004;September 24th;Mou gaan dou;;89594,00;
2004;September 24th;Mind the Gap;;9496,00;
2004;September 24th;The Motorcycle Diaries;38209793,00;16756372,00;54966165,00
2004;September 24th;The Last Shot;;463730,00;
2004;September 24th;Hollywood Buddha;;72115,00;
2004;September 24th;The Hillside Strangler;;306,00;
2003;September 19th;Underworld;43737767,00;51970690,00;95708457,00
